Risk_A,Risk_B,Risk_C,Risk_D,RiSk_E,Prob,Score,CONTROL_RISK,MONEY_Marks,Loss,label
2.508,0.5,1.0,0.676,0.4,0.2,2.4,0.4,2.0,0.0,1.0
0.0,0.966,1.0,0.188,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.102,0.046,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,6.48,3.6,7.05,0.4,0.2,4.4,0.4,6.0,0.0,1.0
0.0,0.016,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.166,1.0,0.59,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.44,2.964,1.0,26.97,0.4,0.2,3.2,0.4,6.0,0.0,1.0
5.1,7.218,2.2,3.116,0.4,0.2,4.2,0.4,4.0,0.0,1.0
5.04,6.63,2.2,2.936,0.4,0.2,4.2,0.4,4.0,0.0,1.0
2.388,0.198,1.0,0.386,0.4,0.2,2.4,0.4,2.0,0.0,0.0
3.258,6.462,1.0,0.884,0.4,0.2,3.6,0.4,2.0,0.0,1.0
9.228,24.084,1.0,0.192,0.8,0.4,4.0,1.2,2.0,1.0,1.0
3.282,3.052,1.0,6.258,0.4,0.4,3.6,0.8,6.0,0.0,1.0
0.436,0.07,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.168,1.0,0.0014,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.78,3.604,1.0,3.6,0.4,0.2,3.0,0.4,4.0,0.0,1.0
5.124,18.978,1.0,24.768,0.4,0.4,4.2,0.8,6.0,0.0,1.0
2.508,0.966,2.2,8.418,0.4,0.2,3.2,0.4,6.0,0.0,1.0
0.724,0.206,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
2.916,28.068,2.2,37.908,0.4,0.2,4.4,0.4,6.0,0.0,1.0
3.756,8.46,1.0,20.544,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.004,2.376,1.0,0.002,0.4,0.2,2.6,0.4,2.0,0.0,0.0
3.186,13.674,1.0,123.114,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.188,0.002,1.0,0.02,0.4,0.2,2.0,0.4,2.0,0.0,0.0
3.468,34.752,1.0,6.696,0.4,0.2,4.0,0.4,6.0,0.0,1.0
4.452,0.448,1.0,0.25,0.4,0.2,2.4,0.4,2.0,0.0,1.0
0.0,0.22,1.0,0.0014,0.4,0.2,2.0,0.4,2.0,0.0,0.0
4.11,19.056,1.0,0.292,0.4,0.2,3.6,0.4,2.0,0.0,1.0
0.0,0.206,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.15,1.0,2.712,0.4,0.2,2.2,0.4,4.0,0.0,0.0
1.44,9.978,1.0,0.232,0.4,0.2,3.6,0.4,2.0,0.0,1.0
0.0,0.01,1.0,91.446,0.4,0.2,2.4,0.4,6.0,0.0,1.0
0.0,0.352,1.0,0.216,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.594,1.0,0.568,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.086,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.188,1.0,0.18,0.4,0.2,2.0,0.4,2.0,0.0,0.0
5.406,11.892,1.0,3.868,0.4,0.2,3.8,0.4,4.0,0.0,1.0
0.0,0.01,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
7.17,18.54,1.0,19.608,0.4,0.2,4.0,0.4,6.0,0.0,1.0
4.782,10.308,1.0,561.018,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.0,0.742,1.0,17.778,0.4,0.2,2.4,0.4,6.0,0.0,1.0
0.124,0.404,1.0,0.022,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.454,1.0,0.524,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.528,0.0,1.0,0.012,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.206,1.0,0.486,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,9.228,1.0,75.678,0.4,0.2,3.6,0.4,6.0,0.0,1.0
0.0,0.204,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,12.426,1.0,12.474,0.4,0.6,4.0,1.6,6.0,0.0,1.0
1.77,2.624,1.0,94.152,0.4,0.2,3.4,0.4,6.0,0.0,1.0
0.788,0.42,1.0,7.374,1.2,0.2,3.0,1.2,6.0,2.0,1.0
0.0,10.83,1.0,0.458,0.4,0.2,3.2,0.4,2.0,0.0,1.0
0.0,0.186,1.0,3.112,0.4,0.2,2.2,0.4,4.0,0.0,0.0
0.0,0.322,1.0,0.502,0.4,0.2,2.0,0.4,2.0,0.0,0.0
3.792,3.604,1.0,3.324,0.4,0.2,3.2,0.4,4.0,0.0,1.0
0.0,0.21,1.0,0.032,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,2.72,1.0,28.74,0.4,0.2,3.0,0.4,6.0,0.0,1.0
8.424,6.498,1.0,3.564,0.4,0.2,3.8,0.4,4.0,0.0,1.0
4.002,10.812,2.2,0.99,0.4,0.6,4.4,1.6,2.0,0.0,1.0
0.0,0.0,1.0,0.35,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.016,1.0,0.136,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.504,0.01,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.006,1.0,0.012,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.158,1.0,9.492,0.4,0.2,2.4,0.4,6.0,0.0,1.0
2.856,7.818,1.0,0.116,0.4,0.4,3.8,0.8,2.0,0.0,1.0
5.286,3.608,1.0,129.186,0.4,0.4,3.6,0.8,6.0,0.0,1.0
0.0,0.014,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
8.352,0.44,1.0,0.01,0.4,0.2,2.4,0.4,2.0,0.0,1.0
0.428,0.0,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.178,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.796,3.6,32.004,0.4,0.2,3.2,0.4,6.0,0.0,1.0
6.0,44.556,2.2,6.696,0.4,0.6,4.8,2.2,6.0,0.0,1.0
2.544,3.224,1.0,6.414,0.4,0.2,3.4,0.4,6.0,0.0,1.0
7.362,43.476,1.0,2.276,0.4,0.2,3.8,0.4,4.0,0.0,1.0
0.0,0.192,1.0,0.27,0.4,0.2,2.0,0.4,2.0,0.0,0.0
7.62,0.256,1.0,7.014,0.4,0.2,2.8,0.4,6.0,0.0,1.0
0.0,37.878,1.0,8.76,0.4,0.4,3.8,0.8,6.0,0.0,1.0
0.796,6.144,1.0,12.468,0.4,0.2,3.8,0.4,6.0,0.0,1.0
0.01,0.042,2.2,61.332,0.4,0.2,2.8,0.4,6.0,0.0,1.0
0.0,2.948,1.0,0.148,0.4,0.2,2.6,0.4,2.0,0.0,0.0
0.0,0.744,1.0,0.0,0.4,0.6,2.4,5.8,2.0,0.0,1.0
42.888,15.378,1.0,524.022,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.0,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.148,0.2,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.116,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
5.076,43.656,1.0,0.28,0.8,0.6,4.2,2.0,2.0,1.0,1.0
0.084,0.014,1.0,0.084,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.002,0.258,2.2,21.912,0.8,0.2,3.0,0.8,6.0,0.0,1.0
4.11,39.558,2.2,2.408,0.8,0.2,4.4,0.8,4.0,0.0,1.0
3.222,3.448,1.0,10.296,0.8,0.2,3.6,0.8,6.0,0.0,1.0
2.958,2.616,2.2,7.746,0.8,0.2,4.0,0.8,6.0,0.0,1.0
0.488,0.012,1.0,0.0,0.8,0.2,2.4,0.8,2.0,0.0,0.0
0.0,0.17,1.0,0.0,0.8,0.2,2.2,0.8,2.0,0.0,0.0
9.432,34.764,3.6,6.474,1.2,0.2,5.2,1.2,6.0,0.0,1.0
2.97,25.566,1.0,0.692,1.2,0.4,4.2,1.6,2.0,0.0,1.0
0.0,0.016,1.0,0.012,1.2,0.2,2.4,1.2,2.0,0.0,1.0
0.476,7.728,1.0,0.466,1.2,0.2,3.8,1.2,2.0,0.0,1.0
0.0,0.544,1.0,2.232,1.2,0.2,2.6,1.2,4.0,0.0,1.0
0.0,0.332,1.0,0.152,1.2,0.2,2.4,1.2,2.0,0.0,1.0
3.882,7.308,1.0,15.162,1.2,0.2,4.4,1.2,6.0,0.0,1.0
0.532,0.0,1.0,0.04,1.2,0.2,2.6,1.2,2.0,0.0,1.0
0.0,0.22,1.0,0.0,1.2,0.2,2.4,1.2,2.0,0.0,1.0
1.542,0.898,1.0,3.024,0.4,0.4,2.8,0.8,4.0,0.0,1.0
0.0,0.376,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.154,10.986,1.0,40.218,0.4,0.2,3.6,0.4,6.0,0.0,1.0
3.138,2.356,1.0,11.64,0.4,0.2,3.4,0.4,6.0,0.0,1.0
3.954,14.196,1.0,20.898,0.4,0.4,4.2,0.8,6.0,0.0,1.0
4.308,8.778,1.0,59.25,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.4,0.0,1.0,0.072,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.012,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
1.578,0.51,1.0,0.0,0.4,0.2,2.4,0.4,2.0,0.0,0.0
0.0,0.174,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
6.576,24.882,1.0,21.126,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.0,0.046,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
2.55,27.306,2.2,3.28,0.4,0.2,4.2,0.4,4.0,0.0,1.0
0.792,30.852,2.2,12.198,0.4,0.4,4.4,0.8,6.0,0.0,1.0
0.576,17.55,1.0,21.078,0.4,0.2,3.8,0.4,6.0,0.0,1.0
0.608,22.398,2.2,38.22,0.4,0.2,4.2,0.4,6.0,0.0,1.0
2.178,4.34,1.0,0.056,0.4,0.2,3.0,0.4,2.0,0.0,1.0
0.54,39.81,2.2,16.278,0.4,0.6,4.6,2.2,6.0,0.0,1.0
5.982,53.238,1.0,6.162,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.564,21.696,1.0,7.83,1.2,0.2,4.2,1.2,6.0,2.0,1.0
0.792,40.746,2.2,11.274,0.4,0.4,4.4,0.8,6.0,0.0,1.0
6.048,13.386,2.2,10.092,0.4,0.2,4.4,0.4,6.0,0.0,1.0
0.576,3.86,3.9,6.018,0.4,0.2,4.0,0.4,6.0,0.0,1.0
15.24,31.044,1.0,7.602,1.2,0.6,4.8,2.4,6.0,0.0,1.0
1.926,43.242,1.0,8.274,1.2,0.4,4.6,1.6,6.0,0.0,1.0
7.368,12.372,1.0,6.096,0.4,0.4,4.2,0.8,6.0,0.0,1.0
4.158,42.156,1.0,3.892,0.4,0.2,3.8,0.4,4.0,0.0,1.0
2.004,22.554,1.0,16.17,0.4,0.2,4.0,0.4,6.0,0.0,1.0
9.396,44.718,1.0,17.442,0.4,0.2,4.0,0.4,6.0,0.0,1.0
1.752,2.096,1.0,3.904,0.4,0.2,3.2,0.4,4.0,0.0,1.0
0.166,16.836,1.0,7.986,0.4,0.2,3.6,0.4,6.0,0.0,1.0
0.788,18.15,1.0,0.136,0.4,0.2,3.4,0.4,2.0,0.0,1.0
6.0,28.74,1.0,3.08,0.4,0.2,3.8,0.4,4.0,0.0,1.0
7.836,27.252,1.0,6.24,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.54,19.95,2.2,12.372,0.4,0.2,4.2,0.4,6.0,0.0,1.0
2.478,10.044,1.0,26.412,0.4,0.2,4.0,0.4,6.0,0.0,1.0
7.572,48.036,2.2,26.118,0.8,0.2,4.6,0.8,6.0,0.0,1.0
9.816,24.66,1.0,7.218,0.8,0.2,4.2,0.8,6.0,0.0,1.0
7.608,24.6,2.2,7.128,0.4,0.2,4.4,0.4,6.0,0.0,1.0
7.038,51.522,1.0,2.784,0.4,0.4,4.0,0.8,4.0,0.0,1.0
3.09,26.802,2.2,12.642,0.4,0.2,4.4,0.4,6.0,0.0,1.0
3.966,33.372,1.0,34.296,0.8,0.2,4.2,0.8,6.0,1.0,1.0
4.818,56.658,2.2,6.39,0.4,0.6,4.8,1.6,6.0,0.0,1.0
0.484,20.418,1.0,2.144,0.4,0.2,3.6,0.4,4.0,0.0,1.0
0.656,27.726,1.0,0.49,0.4,0.2,3.4,0.4,2.0,0.0,1.0
0.484,26.304,2.2,18.966,0.4,0.2,4.2,0.4,6.0,0.0,1.0
0.44,52.626,2.2,20.592,0.4,0.2,4.2,0.4,6.0,0.0,1.0
2.502,14.622,1.0,0.848,0.4,0.2,3.6,0.4,2.0,0.0,1.0
0.432,19.626,1.0,3.352,0.4,0.2,3.6,0.4,4.0,0.0,1.0
7.374,15.444,1.0,13.26,0.8,0.2,4.2,0.8,6.0,1.0,1.0
7.524,18.972,1.0,32.442,0.4,0.2,4.0,0.4,6.0,0.0,1.0
10.356,26.532,1.0,16.608,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.46,12.06,3.6,12.87,0.4,0.2,4.6,0.4,6.0,0.0,1.0
12.024,29.34,1.0,6.654,0.4,0.2,4.0,0.4,6.0,0.0,1.0
7.302,28.2,3.6,6.084,0.4,0.2,4.8,0.4,6.0,0.0,1.0
6.222,63.336,5.4,31.278,0.4,0.2,4.8,0.4,6.0,0.0,1.0
5.802,37.35,2.2,10.212,0.4,0.2,4.4,0.4,6.0,0.0,1.0
2.262,24.516,1.0,10.8,0.4,0.2,4.0,0.4,6.0,0.0,1.0
2.838,36.132,1.0,41.856,0.4,0.2,4.0,0.4,6.0,0.0,1.0
3.786,11.652,2.2,8.328,0.4,0.2,4.4,0.4,6.0,0.0,1.0
3.366,0.312,1.0,0.806,0.4,0.2,2.4,0.4,2.0,0.0,1.0
3.132,12.564,1.0,0.488,0.4,0.2,3.6,0.4,2.0,0.0,1.0
0.062,34.872,1.0,47.388,0.8,0.2,3.8,0.8,6.0,1.0,1.0
1.716,10.254,2.2,2.752,0.4,0.2,4.2,0.4,4.0,0.0,1.0
9.918,43.794,1.0,2.196,0.4,0.4,4.0,0.8,4.0,0.0,1.0
1.62,27.096,1.0,22.674,0.4,0.2,4.0,0.4,6.0,0.0,1.0
1.848,36.468,1.0,0.072,0.4,0.2,3.6,0.4,2.0,0.0,1.0
1.2,29.514,1.0,36.528,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.472,0.0,2.2,109.92,0.8,0.2,3.2,0.8,6.0,1.0,1.0
0.428,0.0,1.0,6.012,0.4,0.2,2.6,0.4,6.0,0.0,1.0
0.428,0.0,1.0,0.0,1.2,0.2,2.6,1.2,2.0,0.0,1.0
0.404,0.0,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.186,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
2.406,0.0,1.0,0.0,0.4,0.2,2.4,0.4,2.0,0.0,0.0
0.154,0.0,1.0,0.064,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.42,0.0,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.404,0.0,1.0,0.056,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.182,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.448,0.0,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.16,0.0,1.0,0.036,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.13,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.126,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.086,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.484,0.0,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.034,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.8,0.2,2.2,0.8,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.014,0.0,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
3.066,32.256,3.6,29.136,0.4,0.6,5.2,1.6,6.0,0.0,1.0
1.476,2.688,1.0,0.0,0.4,0.2,3.0,0.4,2.0,0.0,1.0
2.43,12.996,2.2,11.07,0.4,0.2,4.4,0.4,6.0,0.0,1.0
1.686,0.92,1.0,3.376,0.4,0.2,2.6,0.4,4.0,0.0,1.0
2.658,36.882,2.2,23.79,0.4,0.2,4.4,0.4,6.0,0.0,1.0
2.088,10.71,1.0,3.812,0.4,0.2,3.8,0.4,4.0,0.0,1.0
2.172,26.568,1.0,26.802,0.4,0.2,4.0,0.4,6.0,0.0,1.0
2.604,14.478,1.0,0.684,0.4,0.2,3.6,0.4,2.0,0.0,1.0
2.172,3.348,1.0,0.0,0.4,0.2,3.0,0.4,2.0,0.0,1.0
1.866,68.382,2.2,15.984,0.4,0.2,4.4,0.4,6.0,0.0,1.0
0.66,12.516,1.0,10.146,0.4,0.2,3.8,0.4,6.0,0.0,1.0
2.058,0.306,1.0,0.0,0.4,0.2,2.4,0.4,2.0,0.0,0.0
2.304,59.202,1.0,7.74,0.4,0.2,4.0,0.4,6.0,0.0,1.0
4.452,69.522,3.6,2.716,0.4,0.4,4.8,0.8,4.0,0.0,1.0
4.242,21.288,1.0,3.504,0.4,0.2,3.8,0.4,4.0,0.0,1.0
1.956,2.22,1.0,0.042,1.2,0.2,3.4,1.2,2.0,0.0,1.0
2.304,86.634,1.0,11.808,0.8,0.4,4.4,1.2,6.0,1.0,1.0
3.3,55.956,1.0,8.562,0.4,0.2,4.0,0.4,6.0,0.0,1.0
0.76,21.024,3.9,9.714,0.4,0.2,4.6,0.4,6.0,0.0,1.0
2.1,9.654,1.0,2.012,0.4,0.2,3.8,0.4,4.0,0.0,1.0
0.584,0.15,1.0,0.022,0.4,0.2,2.2,0.4,2.0,0.0,0.0
2.76,32.994,1.0,8.46,0.4,0.2,4.0,0.4,6.0,0.0,1.0
4.458,47.7,1.0,61.434,0.4,0.2,4.0,0.4,6.0,0.0,1.0
2.106,31.734,1.0,0.852,0.4,0.2,3.6,0.4,2.0,0.0,1.0
3.39,40.296,3.6,16.338,0.4,0.2,4.8,0.4,6.0,0.0,1.0
0.532,0.07,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
3.27,42.654,2.2,35.508,0.4,0.2,4.4,0.4,6.0,0.0,1.0
0.692,2.256,1.0,8.01,0.4,0.2,3.2,0.4,6.0,0.0,1.0
3.612,81.414,3.6,53.784,0.8,0.2,5.0,0.8,6.0,0.0,1.0
1.932,33.384,1.0,48.48,0.8,0.2,4.2,0.8,6.0,1.0,1.0
1.446,2.112,1.0,3.58,0.8,0.2,3.4,0.8,4.0,0.0,1.0
1.704,38.946,2.2,74.754,0.8,0.2,4.6,0.8,6.0,0.0,1.0
0.7,0.114,1.0,0.0,0.8,0.2,2.4,0.8,2.0,0.0,1.0
1.308,18.486,1.0,2.32,0.8,0.2,4.0,0.8,4.0,0.0,1.0
1.956,0.562,3.6,12.96,0.8,0.2,3.8,0.8,6.0,0.0,1.0
2.658,30.792,2.2,87.582,0.4,0.2,4.4,0.4,6.0,0.0,1.0
3.366,59.598,3.9,45.882,0.4,0.2,4.8,0.4,6.0,0.0,1.0
2.34,16.752,1.0,28.56,0.4,0.2,4.0,0.4,6.0,0.0,1.0
1.314,0.136,1.0,17.04,0.4,0.2,2.8,0.4,6.0,0.0,1.0
0.624,5.856,1.0,15.582,0.4,0.2,3.2,0.4,6.0,0.0,1.0
2.718,52.758,1.0,51.486,0.4,0.2,4.0,0.4,6.0,0.0,1.0
2.982,25.314,2.2,27.222,0.4,0.2,4.4,0.4,6.0,0.0,1.0
1.278,0.118,1.0,0.152,0.4,0.2,2.4,0.4,2.0,0.0,0.0
2.196,9.282,1.0,0.286,0.4,0.2,3.6,0.4,2.0,0.0,1.0
0.656,0.038,1.0,0.318,0.4,0.2,2.2,0.4,2.0,0.0,0.0
2.94,59.226,2.2,49.794,0.4,0.4,4.6,0.8,6.0,0.0,1.0
3.408,40.428,1.0,52.02,0.4,0.4,4.2,0.8,6.0,0.0,1.0
2.394,55.23,1.0,9.084,0.4,0.4,4.2,0.8,6.0,0.0,1.0
2.082,28.242,1.0,18.828,0.4,0.2,4.0,0.4,6.0,0.0,1.0
1.608,22.992,1.0,2.868,0.4,0.2,3.8,0.4,4.0,0.0,1.0
1.278,25.584,1.0,10.944,0.4,0.2,4.0,0.4,6.0,0.0,1.0
2.568,758.778,2.2,35.316,1.2,0.6,5.2,2.4,6.0,0.0,1.0
2.616,20.346,2.2,2.424,2.4,0.2,4.8,2.4,4.0,1.0,1.0
1.338,0.908,1.0,13.68,1.2,0.2,3.2,1.2,6.0,0.0,1.0
1.2,0.064,1.0,2.148,0.4,0.2,2.6,0.4,4.0,0.0,0.0
